[File]
VBOX202410301214310001, Whole Session.csv
[Information]
2025-01-07T04:09:53.0838173Z
[Unit]
num,state,state,state,state,hh:mm:ss.ss,ddd°mmm.mmmmm',ddd°mmm.mmmmm',km/h,deg,m,km/h,,num,hh:mm:ss.ss,hh:mm:ss.ss,g,(null),m,s,g,g,g
[Column name]
Satellites,BrakeTrigger,DGPS,Rtk,WavFile,Time,Latitude,Longitude,Velocity,Heading,Height,Vertical_velocity,Solution_Type,AviFileIndex,AviSyncTime,sampleperiod,ComboAcc,Combo_G,Distance,ElapsedTimeSeconds,CombinedAcceleration,LateralAcceleration,LongitudinalAcceleration
016,0,0,0,0,01:14:35.12,33°0016.66806000 S,148°0046.00911000 W,033.174,279.72,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+6.721089E-02,6.721089E-02,00019.918,2.320000,+00.096,-00.052,+00.081,
016,0,0,0,0,01:14:35.16,33°0016.66802400 S,148°0046.00887600 W,033.134,279.71,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+2.112175E-02,2.112175E-02,00020.287,2.360000,+00.028,+00.003,-00.028,
016,0,0,0,0,01:14:35.20,33°0016.66799400 S,148°0046.00864200 W,033.257,279.61,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+5.287184E-02,5.287184E-02,00020.656,2.400000,+00.098,+00.044,+00.087,
016,0,0,0,0,01:14:35.24,33°0016.66795800 S,148°0046.00840800 W,033.289,279.64,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+3.794373E-02,3.794373E-02,00021.025,2.440000,+00.027,-00.015,+00.023,
016,0,0,0,0,01:14:35.28,33°0016.66792800 S,148°0046.00817400 W,033.257,279.56,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+9.149676E-03,9.149676E-03,00021.395,2.480000,+00.041,+00.034,-00.023,
016,0,0,0,0,01:14:35.32,33°0016.66789200 S,148°0046.00793400 W,033.347,279.45,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+3.793518E-02,3.793518E-02,00021.765,2.520000,+00.078,+00.045,+00.064,
016,0,0,0,0,01:14:35.36,33°0016.66786200 S,148°0046.00770000 W,033.462,279.48,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+5.920001E-02,5.920001E-02,00022.136,2.560000,+00.082,-00.010,+00.081,
016,0,0,0,0,01:14:35.40,33°0016.66782600 S,148°0046.00746000 W,033.487,279.73,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+4.084314E-02,4.084314E-02,00022.508,2.600000,+00.107,-00.106,+00.018,
016,0,0,0,0,01:14:35.44,33°0016.66779000 S,148°0046.00722600 W,033.502,279.67,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+2.496254E-02,2.496254E-02,00022.880,2.640000,+00.029,+00.027,+00.011,
016,0,0,0,0,01:14:35.48,33°0016.66775400 S,148°0046.00698600 W,033.545,279.59,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+2.744497E-02,2.744497E-02,00023.253,2.680000,+00.044,+00.032,+00.030,
016,0,0,0,0,01:14:35.52,33°0016.66772400 S,148°0046.00675200 W,033.617,279.56,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+3.935444E-02,3.935444E-02,00023.626,2.720000,+00.052,+00.012,+00.051,
016,0,0,0,0,01:14:35.56,33°0016.66768800 S,148°0046.00651200 W,033.610,279.57,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+1.715533E-02,1.715533E-02,00023.999,2.760000,+00.007,-00.005,-00.005,
016,0,0,0,0,01:14:35.60,33°0016.66765800 S,148°0046.00627800 W,033.671,279.45,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+3.250329E-02,3.250329E-02,00024.373,2.800000,+00.068,+00.052,+00.043,
016,0,0,0,0,01:14:35.64,33°0016.66762200 S,148°0046.00603800 W,033.692,279.68,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+2.466872E-02,2.466872E-02,00024.747,2.840000,+00.097,-00.096,+00.015,
016,0,0,0,0,01:14:35.68,33°0016.66758600 S,148°0046.00579800 W,033.829,279.70,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+6.052568E-02,6.052568E-02,00025.122,2.880000,+00.097,-00.008,+00.097,
016,0,0,0,0,01:14:35.72,33°0016.66755000 S,148°0046.00555800 W,033.952,279.79,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+7.484875E-02,7.484875E-02,00025.499,2.920000,+00.096,-00.040,+00.087,
016,0,0,0,0,01:14:35.76,33°0016.66751400 S,148°0046.00531800 W,033.984,279.71,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+4.837134E-02,4.837134E-02,00025.876,2.960000,+00.042,+00.036,+00.023,
016,0,0,0,0,01:14:35.80,33°0016.66748400 S,148°0046.00507800 W,033.977,279.56,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+2.285944E-02,2.285944E-02,00026.254,3.000000,+00.060,+00.060,-00.005,
016,0,0,0,0,01:14:35.84,33°0016.66744800 S,148°0046.00483800 W,033.948,279.53,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+9.488957E-03,9.488957E-03,00026.631,3.040000,+00.026,+00.016,-00.021,
016,0,0,0,0,01:14:35.88,33°0016.66741200 S,148°0046.00459800 W,034.038,279.73,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+3.343082E-02,3.343082E-02,00027.009,3.080000,+00.106,-00.084,+00.064,
016,0,0,0,0,01:14:35.92,33°0016.66738200 S,148°0046.00435200 W,034.070,279.59,+00500.270,000.130,001,0001,-000000001,00:00:00.04,+2.779639E-02,2.779639E-02,00027.387,3.120000,+00.060,+00.056,+00.023,
016,0,0,0,0,01:14:35.96,33°0016.66734600 S,148°0046.00411200 W,034.182,279.56,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+5.357038E-02,5.357038E-02,00027.767,3.160000,+00.080,+00.013,+00.079,
016,0,0,0,0,01:14:36.00,33°0016.66731000 S,148°0046.00387200 W,034.276,279.66,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+5.990400E-02,5.990400E-02,00028.147,3.200000,+00.078,-00.041,+00.067,
016,0,0,0,0,01:14:36.04,33°0016.66728000 S,148°0046.00362600 W,034.312,279.61,+00500.260,000.259,001,0001,-000000001,00:00:00.04,+4.264960E-02,4.264960E-02,00028.528,3.240000,+00.032,+00.020,+00.025,
016,0,0,0,0,01:14:36.08,33°0016.66724400 S,148°0046.00338600 W,034.333,279.64,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+2.899853E-02,2.899853E-02,00028.909,3.280000,+00.018,-00.011,+00.015,
016,0,0,0,0,01:14:36.12,33°0016.66720800 S,148°0046.00314000 W,034.456,279.83,+00500.260,000.130,001,0001,-000000001,00:00:00.04,+6.031369E-02,6.031369E-02,00029.291,3.320000,+00.119,-00.080,+00.087,
